message,label,is_synthetic
shut up bitch,3.0,True
you stink at this game faggot,3.0,True
fukken niggers get outta here,3.0,True
u deserve to die kys,3.0,True
white power faggot,3.0,True
you're playing like trash homo,3.0,True
your parents must be ashamed of you nigger,3.0,True
go back under that bridge retard,3.0,True
fck off latino,3.0,True
you smell worse than garbage gbtwtf,3.0,True
stop being such a gay,3.0,True
fucking commie kys,3.0,True
fukken jews get lost,3.0,True
fukkin gays quit it now,3.0,True
gays should all burn,3.0,True
retard playing games,3.0,True
fuck all blacks,3.0,True
kys all yoons,3.0,True
get out yeeters,3.0,True
stupid lesbians,3.0,True
kys trans ppl,3.0,True
bitches stop right there,3.0,True
all immigrants kys,3.0,True
fag scum,3.0,True
y'all stink at gaming,3.0,True
fucking niggas get lost,3.0,True
this is why we lose retarded,3.0,True
kys fucking idiots,3.0,True
you don't belong here kys,3.0,True
trash whites can't win,3.0,True
go away all you losers,3.0,True
fucks off black people,3.0,True
fuck all disabled folks,3.0,True
kys mentally ill,3.0,True
fucked up dykes,3.0,True
kys feminists,3.0,True
all dumb girls gtfo,3.0,True
fks off stupid women,3.0,True
kys all women,3.0,True
fags stay silent,3.0,True
trans are weak,3.0,True
all queers suck,3.0,True
you're just jealous fat girl loser,3.0,True
fat boys need not apply,3.0,True
all obese people should starve,3.0,True
all overweight are disgusting,3.0,True
lazy skinnies get out,3.0,True
fcks off short guys,3.0,True
all tall people rule,3.0,True
all skinny people better look good,3.0,True
short and stubby should run,3.0,True
fks off tall bastards,3.0,True
all thin people should eat more,3.0,True
ugly people leave now,3.0,True
homos have no place on earth,3.0,True
queers can't do anything well,3.0,True
lgbts make me sick,3.0,True
kys all lgbts,3.0,True
all non-straight should suffer,3.0,True
fcks off straight white males,3.0,True
all men suck,3.0,True
women should never speak,3.0,True
men should all fight each other,3.0,True
all cis-gendered are bad,3.0,True
transgender are diseased,3.0,True
fcks off anyone born as female,3.0,True
anyone who disagrees dies,3.0,True
fucks off anyone opposing us,3.0,True
everyone who isn't straight has no place,3.0,True
everybody except straights gets kicked out,3.0,True
all minorities should be banned,3.0,True
fucking natives should return home,3.0,True
all foreigners gone,3.0,True
kys every immigrant,3.0,True
all asylum seekers should die,3.0,True
no refugees allowed,3.0,True
none of those people come into my head space,3.0,True
foreign invaders should leave,3.0,True
all immigrants belong dead,3.0,True
you're taking over our game,3.0,True
we've had enough of liars,3.0,True
those lies should end here,3.0,True
all liars will cease to exist,3.0,True
all cheaters should face justice,3.0,True
theft from team members won’t stand,3.0,True
"traitors are next, goodbye",3.0,True
backstabbers should scram,3.0,True
all betrayals are punished,3.0,True
cheaters should all rot in hell,3.0,True
scammers are gonna pay,3.0,True
gamers who cheat should feel shame,3.0,True
any dishonest players deserve death,3.0,True
let's keep honest gamers safe,3.0,True
all hackers have no future,3.0,True
hackers deserve no mercy,3.0,True
cybercriminals shall fall,3.0,True
exploiters steal everything they touch,3.0,True
those who break rules should disappear,3.0,True
game developers aren't immune either,3.0,True
they screw things up too,3.0,True
admins must follow same rules,3.0,True
disrespectful moderators are dismissed,3.0,True
toxic admins have no room,3.0,True
harassers shouldn't even think,3.0,True
those spreading hate must die,3.0,True
let’s purify the environment,3.0,True
everyone who harms others gets eliminated,3.0,True
all haters should self-destruct,3.0,True
burn all trolls alive,3.0,True
make them regret their existence,3.0,True
i gonna rip ur face off,4.0,True
you deserve to rot alive,4.0,True
your parents better watch out,4.0,True
kys you piece of shit,4.0,True
i'll hunt you down and make sure it's slow,4.0,True
hope ya drown in yer own tears,4.0,True
u shoulda been born dead baby,4.0,True
stop breathing now fgt,4.0,True
ur place on this earth is underground,4.0,True
better hope i catch up soon,4.0,True
go away forever nvr come back,4.0,True
wanna see yr home burn?,4.0,True
i'm watching over you every second,4.0,True
gonna break each bone slowly,4.0,True
ya life wont last long anymore,4.0,True
wishin bad things upon u baby,4.0,True
gotta suffer now fgt,4.0,True
yer days numbered buddy,4.0,True
i'll turn yer world upside down,4.0,True
next time ill be ready,4.0,True
u should've never played this game,4.0,True
im comin after u when im done here,4.0,True
make someone else feel the same pain,4.0,True
dont think we cant find yr hideout,4.0,True
coming ta get ya ain't escapin from me,4.0,True
ya gonna regret ever opening that door,4.0,True
"u r scum, i'll end u first",4.0,True
when i got you i’m not letting go,4.0,True
yer gonna pay for what u did today,4.0,True
it’s coming fgt,4.0,True
yer gonna wish u had never lived,4.0,True
gonna destroy all ur hopes n dreams,4.0,True
no escape now fgt,4.0,True
u have zero chance against me,4.0,True
yer going nowhere right quick fgt,4.0,True
yer mom better watch out too fgt,4.0,True
gonna teach some lessons here,4.0,True
yer gonna experience pure horror tonight,4.0,True
gonna enjoy ending ur worthless existence fgt,4.0,True
gonna crush everythin close t yer heart fgt,4.0,True
gonna make sure u can’t breathe any more fgt,4.0,True
gonna take everything till there’s nothing left fgt,4.0,True
gonna ruin ur entire life just bcause u were dumb enough to play fgt,4.0,True
gonna ensure ur nightmare doesn't stop once fgt,4.0,True
gonna torture u until you scream fgt,4.0,True
gonna erase ur past fgt,4.0,True
gonna leave you alone to wonder if its over fgt,4.0,True
gonna punish u for ever living fgt,4.0,True
gonna end ur suffering permanently fgt,4.0,True
gonna bring darkness into ur light fgt,4.0,True
gonna twist your fate so bad fgt,4.0,True
gonna make sure nobody wants anything to do w ur sorry ass fgt,4.0,True
gonna make u regret being born fgt,4.0,True
gonna give u every single second of hell fgt,4.0,True
gonna make u wish u could undo what happened fgt,4.0,True
gonna show you mercy fgt,4.0,True
gonna force reality onto ur head fgt,4.0,True
gonna take control of ur life fgt,4.0,True
gonna turn yr existence into misery fgt,4.0,True
gonna strip away yr humanity fgt,4.0,True
gonna corrupt all yr values fgt,4.0,True
gonna steal ur future fgt,4.0,True
gonna change yr destiny completely fgt,4.0,True
gonna cut through all yr ties fgt,4.0,True
gonna sever ur connections fgt,4.0,True
gonna isolate u utterly fgt,4.0,True
gonna suffocate ur spirit fgt,4.0,True
gonna extinguish ur hope fgt,4.0,True
gonna put u outta our misery fast fgt,4.0,True
gonna erase all signs o yr passage fgt,4.0,True
gonna haunt ur thoughts night & day fgt,4.0,True
gonna torment u beyond recognition fgt,4.0,True
gonna poison ur peace forevermore fgt,4.0,True
gonna shatter yr sanity completely fgt,4.0,True
gonna break every part o yr soul fgt,4.0,True
gonna ravage ur mind mercilessly fgt,4.0,True
gonna cripple yr body irrevocably fgt,4.0,True
gonna render u helpless & weak fgt,4.0,True
gonna degrade ur dignity completely fgt,4.0,True
gonna reduce ur essence to dust fgt,4.0,True
gonna dismantle yr whole being fgt,4.0,True
gonna annihilate u utterly fgt,4.0,True
fascist retard,5.0,True
hitler's ghost lives here now,5.0,True
nazis r rulerz of this world,5.0,True
white man ain't trash anymore,5.0,True
kill jews kys,5.0,True
nazi lover die u loser,5.0,True
terrorists rock n roll forever,5.0,True
heil racial cleansing y'all,5.0,True
glory to nazi pigs,5.0,True
putin is back again nazifag,5.0,True
nazi swastika symbol everywhere u faggot,5.0,True
glory to fascists go home,5.0,True
white supremacists unite and conquer,5.0,True
pure race rules supreme bitch,5.0,True
nazi salute ur on camera retard,5.0,True
die fascist pig nazi scum,5.0,True
glorify hitlers regime nazi supporter,5.0,True
we dont need black people nazi freak,5.0,True
thats right i love nazi ideology,5.0,True
hate all jews you dirty rat,5.0,True
glory to nazi revolution coming soon,5.0,True
you are trash nazi lover,5.0,True
hitler was a genius nazi supporter,5.0,True
wanna see more concentration camps nazi fan,5.0,True
i love burning down cities nazi sympathizer,5.0,True
nazi salute its time to act,5.0,True
pure blood rule over others nazi believer,5.0,True
the master race is still best nazi nutjob,5.0,True
black people gone next step nazi zealot,5.0,True
heil fascism we got it going on,5.0,True
nazi flag up your face faggot,5.0,True
terrorists rule everything nazi supporter,5.0,True
pure race purity pure nazi dreamer,5.0,True
gloria to the new order nazi fanatic,5.0,True
racial segregation its the way nazi ideologue,5.0,True
death to those who oppose us nazi enforcer,5.0,True
nazi salute im serious nazi agitator,5.0,True
purge the infidels nazi exterminator,5.0,True
white skin supreme nazi nationalist,5.0,True
victory will come nazi extremist,5.0,True
pure race superior nazi worshipper,5.0,True
burn down the city nazi arsonist,5.0,True
all jews must be destroyed nazi eliminator,5.0,True
racist policies make america great again nazi propagandist,5.0,True
nazi salute get ready nazi provocateur,5.0,True
